country;uni;lat_long;places;duration;winter term;summer term;languages;no_english;link
Belgium;Universiteit Gent ;51.046833743539544, 3.7273518406211212;2;10;end of September until end of January;mid February until June;English, French, Flemish;No;https://www.ugent.be/ps/communicatiewetenschappen/en
Belgium;Katholieke Universiteit Leuven;50.92363493813092, 4.709459067995636;2;6;end of September until end of January;mid February until July;English, Dutsch;No;http://soc.kuleuven.be/web/home/10/53/eng
Czech Republic;Univerzita Karlova v Praze ;50.08729196761171, 14.423449192087325;2;10;October until mid February;mid February until end of September;English, Czech;No;https://fsv.cuni.cz/en
Finland;University of Tampere ;61.49446494520847, 23.779202525435895;2;10;September until mid December;January until mid May;English;No;https://www.tuni.fi/en/about-us/faculty-information-technology-and-communication-sciences
France;Université Sorbonne Nouvelle Paris 3;48.84528220452845, 2.396408154039709;4;5;end of September until January;end of January until May;French;Yes;http://www.univ-paris3.fr/departement-institut-de-la-communication-et-des-medias-icm--90073.kjsp
Italy;Università degli Studi di Milano (UNIMI) ;45.46039502959983, 9.194155682159458;2;10;october until end of January;February until June;Italian;Yes;https://milano.unicatt.it/scienzepolitichesociali
Italy;Università Cattolica del Sacro Cuore Mailand;45.4622829707997, 9.177092667423114;2;10;Oxtober until end of january;February until June;Italian;Yes;http://eng.sps.unimi.it/ecm/home
Italy;Università degli Studi di Genova ;44.415010024128634, 8.926725850095721;1;5;October until end of January;mid February until end of June;Italian;Yes;https://disfor.unige.it/
Lithuania;Vilnius University ;54.68272453008614, 25.287636169585042;2;10;September until end of January;mid February until end of June; English, Lithuanian;No;https://www.kf.vu.lt/en
Poland;Jagiellonian University;50.06125732391802, 19.93291965631373;2;6;October until February;February until September;English, Polish;No;https://www.uj.edu.pl/
Rumania;Babes-Bolyai University Cluj-Napoca;46.76733929045658, 23.59218241349165;4;5;end of September until end of January;end of February until mid June;English, German;No;https://fspac.ubbcluj.ro/en
Sweden;Göteborgs Universitet ;57.698523071225154, 11.971593027367202;2;5;September until mid January;mid January until June;English, Swedish;No;https://www.gu.se/en
Sweden;Lunds Universitet ;55.71206311137156, 13.203557371471526;4;5;September until mid January;mid January until July;English, Swedish;No;http://www.kom.lu.se/en/education/medie-och-kommunikationsvetenskap
Spain;Universidad Complutense de Madrid ;40.445632728811646, -3.729974588550403;2;10;end of September until mid January;February until beginning of June;Spanish;Yes;https://ccinformacion.ucm.es/directorio/?eid=167
Spain;Universidad de Navarra, Pamplona ;42.898134771766635, -1.6140948161554416;2;10;end of September until mid January;February until beginning of June;Spanish;Yes;https://www.unav.edu/web/facultad-de-comunicacion
Turkey;Kadir Has University Istanbul;41.02512104700225, 28.9595317974234;2;10;mid September until mid January;February until mid May;English, Turkish;No;http://www.khas.edu.tr/en/562/comm
